GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
VPS13D	12.0	12.0	9.0	11.0	12.0	11.0	7.0	9.0	14.0	7.0
DHRS3	7.0	4.0	7.0	6.0	5.0	6.0	1.0	5.0	8.0	7.0
AC254633.1	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDPN	0.0	4.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0
PRDM2	14.0	22.0	23.0	8.0	14.0	15.0	18.0	21.0	20.0	12.0
KAZN	55.0	71.0	66.0	76.0	69.0	63.0	71.0	67.0	82.0	56.0
AL357873.1	1.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0
KAZN-AS1	2.0	1.0	1.0	3.0	4.0	5.0	3.0	2.0	1.0	4.0
TMEM51-AS1	4.0	3.0	3.0	4.0	1.0	3.0	2.0	3.0	2.0	3.0
TMEM51	11.0	15.0	10.0	12.0	17.0	13.0	13.0	11.0	15.0	12.0
C1orf195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FHAD1	1.0	4.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	0.0
AL031283.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL031283.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFHD2	9.0	16.0	11.0	9.0	12.0	10.0	11.0	11.0	9.0	10.0
CTRC	2.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	2.0
CELA2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CELA2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASP9	10.0	11.0	12.0	9.0	9.0	13.0	13.0	9.0	12.0	10.0
DNAJC16	7.0	11.0	10.0	11.0	10.0	10.0	15.0	14.0	8.0	12.0
AGMAT	0.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
AL121992.1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
DDI2	4.0	4.0	5.0	4.0	6.0	5.0	6.0	3.0	5.0	6.0
AL121992.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHM2	4.0	3.0	4.0	6.0	6.0	5.0	4.0	4.0	7.0	7.0
AL450998.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A34	2.0	5.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0
SLC25A34-AS1	3.0	2.0	2.0	1.0	4.0	4.0	2.0	0.0	1.0	2.0
TMEM82	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
FBLIM1	23.0	25.0	19.0	20.0	24.0	22.0	23.0	18.0	25.0	19.0
UQCRHL	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
AL450998.2	18.0	22.0	15.0	18.0	25.0	18.0	30.0	22.0	25.0	12.0
SPEN	35.0	47.0	33.0	33.0	41.0	30.0	38.0	33.0	40.0	26.0
ZBTB17	5.0	9.0	7.0	6.0	8.0	8.0	5.0	6.0	6.0	5.0
SRARP	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
HSPB7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCNKA	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
