GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
AGA	180.81	0	0	0
PI4K2B	6.51	2.14	0	52.29
BOD1L1	32.24	17.5	0	16.43
MAT2B	143.62	114.57	142.48	0
TLL1	0	0	0	1.54
EDC4	38.81	2.31	0	137.71
TRIO	0	70.95	0	42.46
VCAN	13.27	0.09	0	1.22
CLEC16A	8.82	3.98	0	0
MSR1	0	8	0	0
CDH1	0	3.8	0	20.83
MTREX	266.38	0.79	265.12	32.6
DNAH5	34.95	13.87	0	0
ZFYVE16	0	0	0	0
RIPOR1	40.81	70.98	0	0
C6	0	0	0	0
RAI14	0	0	0	0
SOX30	0	0	0	0
PNKP	0	220.59	0	0
BEST2	0	0	0	0
PHLPP2	2.42	0	0	13.88
SPDL1	337.26	2.86	0	0
STAU2	41.75	0	0	0
SLC66A1	0	0	0	0
CTNS	0	15.79	0	0
RTN4R	0	0	0	0
PHF23	115.09	119.31	0	0
CDH10	0	0	0	0
INPP4A	29.04	62.99	0.48	0
RAB27B	0	0	0	0
PSMA4	62.45	0	0	0
MYO16	0	0	0	0
LSG1	22.71	3.15	0	164.84
PARP3	0	0	0	0
TNC	0	0	0	0
THAP3	0	48.59	0	0
RIPOR3	0	0	0	0
TDP1	68.58	0	0	14.89
AIFM2	0	22.39	0	0
C2orf83	27.35	0	0	0
SPATA7	0	0	0	0
MED17	12.78	0	0	0
RETSAT	7.32	0	0	0
CAPG	62.63	174.76	0	164.04
AP2S1	56.39	1.28	0	0
USH2A	0	3.08	0	0
ZPBP	0	0	0	0
TG	0	0	0	0
ADAM28	1.69	13.92	0	0
BARX2	0	0	0	0
DCUN1D1	100.37	16.24	0	0
JADE2	14.64	163.53	0	3.89
ZIC2	0	0	0	0
LCP2	457.91	379.62	0	61.75
TRIT1	1.31	0.06	0	0
ADRB1	0.13	5.39	0	0
GUCA2B	0	0	0	0
CUL7	0	0	0	0.25
CTNNA1	202.3	301.21	22.29	26.05
PHKA2	18.83	0	0	0
CNTLN	2.79	0	0	0
EPHA3	4.85	0	0	0
HSPA5	62.44	12.33	0	75.44
DSG2	0	12.34	0	0
GEMIN8	49.39	0.24	0	0
OFD1	31.71	41.61	0	0
GPM6B	1.92	6.08	0	0
MAGEC2	0	48.55	0	0
PREX2	0	0	0	0
WDR37	2.32	5.35	0	0
YTHDC2	1.56	0	0	40.02
CTPS2	0	0	0	0
ATP6V1H	31.56	59.78	0	0
POLR2B	18.35	79.2	0	652.7
FAM214A	11.49	21.61	0	0
ARAP2	10.94	7.32	15.39	0
TPR	25.22	91.58	0	0
CP	0	0	0	0
KIAA0556	0	1.6	0	0
DTNBP1	25.97	0	0	54.35
XK	0	0	0	0
ANO2	0	0	0	0
C12orf4	4.71	0	0	0
SCML1	0	0	0	0
WWC3	2.19	14.59	0	0
ARHGAP6	0	17.13	0	0
FAM184B	0	0	0	0
MAP4	48.88	0	0	4.13
GOPC	0	0	0	13.1
ROS1	0	0	0	0
USP28	1.8	42.8	0	0
HDAC9	0.81	0	0	0
TSPAN17	8.82	0	0	0
NOP16	230.47	117.82	0	0
CC2D2A	0	0	0	0
RRM2B	6.4	0	0	0
ZNF800	0	56.69	0	0
TNFRSF17	0	0	0	0
SNX29	19.2	0.04	0	957.24
LMO3	0	16.75	0	0
MRPS10	0.1	0	0	0
GUCA1A	0	0	0	0
RSF1	83.32	146.65	0	186.05
VPS13D	5.14	31.8	0	30.52
CELF2	24.79	21.76	0	0
FAM120A	67.26	42.7	0	0
R3HDM1	188.41	12.45	0	0
COL9A2	0	0	0	0
KITLG	0.05	0	0	0
ERCC8	14.67	2.14	0	31.28
ADAMTS6	0	12.31	0	0
H6PD	0	3.49	0	0
VAMP3	0	0	0	0
PER3	0	18.94	0	0
UTS2	0	0	0	0
TNFRSF9	14.3	137.77	0	0
EPN3	0	0	0	0
LTBP1	2	0	0	0
RCN1	0	99.62	0	0
ELN	0	0	0	0
RFC2	33.39	36.71	0	0
ARID1B	32.97	118.75	0	5.61
CLPTM1L	3.76	0	0	0
NEDD4L	62.5	36.59	0	0
FOXP3	5.79	82.44	0	0
PPP1R3F	0	0	0	0
HEXB	0	0	0	115.98
PTCD2	0	9.26	0	0
NEXMIF	0	0	0	0
JKAMP	0	0	0	0
DKK3	0	0	0	0
ARHGEF5	15.07	3.15	0	0
NFE2L3	28.59	0.17	0	0
MCUR1	16.73	7.31	0	4.64
LIMA1	0	13.19	0	0
LETMD1	189.83	0	0	0
SLC4A8	2.07	8.2	0	0
LAMC3	0	0	0	0
PTGER3	0	1.62	0	0
TNIP3	0	0	0	0
MAPK9	0	0	1008.68	79.64
COL23A1	0	0	0	0
BCAR1	0	0	0	0
FAM160A2	5.06	10.98	0	0
HERPUD1	0	0	0	0
HOMER3	0	0	0	0
RAD51	0	78.02	0	0
POLQ	4.8	9.65	0	0
PIK3CB	4.48	4.11	0	0
CYBA	36.18	170.75	0	0
THOC3	0.84	2.83	0	0
HEBP2	4.37	0	0	31.12
MPHOSPH9	167.69	104.04	0	0
PLEKHA5	32.08	16.99	0	0
PRSS8	0	0	0	0
SIKE1	0	2.46	0	0
RRP12	79.53	23.93	0	0
FNIP2	0	0	0	0
MSMO1	0	0	0	130.65
TTC17	19.26	25.13	0	21.62
ALX4	0	0	0	0
FSTL4	0	0	0	0
FOXN3	12.03	16.94	0	0
METTL24	0	0	0	0
AKR7A2	0	90.38	0	0
MRTO4	0	0	0	19.27
NNAT	0	0	0	0
USE1	34.67	0	0	196.25
MCF2L2	0.02	0.73	0	0
NRIP2	0	0	0	0
LAMA3	0	510.37	0	0
AP5M1	3.78	13.51	0	0
ANAPC4	29.98	0.14	0	0
KCNQ1	0	0	0	0
TRAPPC3	29.09	0	0	0
THRAP3	62.7	75.15	237.28	6.48
PHPT1	0	0	0	95.11
ENTPD2	0	0	0	0
LY75	0	0	0	0
ARID4B	19.25	84.76	0	48.34
OPN3	0	0	0	0
SDCCAG8	13.29	80.76	0	0
PTPRN	0	0	0	0
HHAT	0	0	0	0
KIF1B	4.9	0	0	0
FOXC1	0	1	0	0
TBC1D22A	31.72	0	0	0
SYNE2	90.6	54.37	185.55	136.47
PLEKHH1	0	0	0	0
ATP9A	2.57	0	0	0
SPO11	0	0	0	0
CBLN4	0	0	0	0
CHRDL2	0	0	0	0
FAM168A	10.66	24.54	0	0
RELT	12.61	0	0	0
GALC	0	0	0	0
NOP58	116.1	83.62	0	0
SZRD1	69.1	213.68	0	0
KCNH2	0	0	0	0
CUL1	8.64	15.18	0	0
FAM114A2	17.09	4.25	0	0
CYFIP2	112.2	254.63	56.32	97.94
TAB2	148.28	69.03	0	0
GINM1	0	0	0	17.7
EIF2AK2	8.18	6.56	0	10.16
USP36	46.23	78.95	0	0
KMT2C	160.02	296.74	0	46.01
MCOLN3	0	0	0	0
CCDC85A	0	0	0	0
PUM2	163.99	12.1	0	609.12
MRPL43	0	0	0	0
ITIH4	0	0	0	0
ITIH1	0	0	0	0
HPF1	0	0	0	0
ZFR	84.75	29.56	0	0
ZNF280C	0	0	0	0
NPFFR2	0	0	0	0
PHF21B	0	0	0	0
TRAF1	90.98	28.6	0	0
RC3H2	6.99	10.62	595.93	0
IL17RB	0	0	0	0
TRAF3IP2	8.23	0	0	0
GYG2	0	0	0	0
DCBLD2	0	12.01	0	0
SERPINB3	0	0	0	0
SOAT1	18.97	3.59	0	0
PKP2	0	4.68	0	0
MSH4	0	0	0	0
F7	0	0	0	0
GDI2	261.07	133.34	286.2	200.17
PRDM1	17.13	0	0	0
ATG5	9.12	19.02	0	0
TMCC3	0	0	0	0
PITHD1	31.04	0	0	0
MTA3	19.41	4.92	985.89	0
USP13	8.74	0	0	0
ATP11B	17.05	0	0	0
LAMC2	3.5	0	0	0
CDK14	0	0	0	0
SEC61A1	61.67	0.48	0	0
PPP1R12A	100.79	261.35	0	218.52
RASGRF1	0	0	0	0
CAMK2B	0	0	0	0
CROCC	0	81.08	0	25.17
POLR3E	7.67	44.36	0	0
ATP2B4	0.04	9.23	0	0
ZC3H11A	0	29.91	0	0
RIOK2	8.7	36.56	0	161.1
YIPF1	0	0	0	0
NDC1	0	0	0	0
DGKG	0	0	0	0
FLYWCH1	0.68	0	0	0
UNKL	0	0	0	0
TBXAS1	0	0	0	44.67
PARP12	0	0	0	0
ALDH18A1	7.36	0	0	27.36
TARBP1	0	0	0	0
GATB	29.74	1.88	0	0
MXD1	2.11	0.6	0	0
CDK17	29.31	0	0	0
DNAJC25	0	0	0	0
SLC2A3	52.02	15.89	0	0
PSD	0	75.02	0	0
CTDP1	17.93	9.63	0	0
YBX3	0	0	0	0
STYK1	11.39	0	0	0
WNK1	127.33	90.33	0	81.25
RPS17P5_ENSG00000060303	0	0	0	0
CCAR1	50.51	32.95	0	47.01
OGFR	30.84	32.77	0	130.76
GNA15	0	0	0	0
CREB3L3	0	0	0	0
PIGV	27.9	22.04	0	0
PTPRU	0	0	0	0
SNRNP40	48.36	0	0	0
RIMBP2	2.45	0	0	0
COL11A1	0	0	0	0
QSER1	0	0	0	0
MPC1	0	25.28	0	0
ACAA1	0	0	0	0
BCAT1	0	56.42	0	0
HDAC7	45.59	12.19	0	14.54
LZTS1	0	0	0	0
PRDM6	0	0	0	0
WNT8A	0	0	0	0
SPAG4	0	0	0	0
NCKAP1	1.96	0	0	0
MRPS35	24.01	0	322.14	0
GUCY1B1	0	0	0	0
SFSWAP	9.62	102.94	0	0
TNK2	15.76	116.16	8.56	0
