GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
ENSG00000287055	0.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287056	0.14	0.01	0.04	0.01	0	0	0	0.01	0	0.04	0.05	0	0.01
ENSG00000287057	0	0	0	0	0.07	0	0	0	0.19	0	0	0	0
ENSG00000287058	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287059	0.08	0.06	0	0.02	0.03	0	0	0.02	0	0	0.01	0.01	0.05
ENSG00000287060	0.32	0.07	0.02	0.11	0	0.07	0	0.01	0	0.01	0.06	0.12	0.03
ENSG00000287061	0	0.07	0	0.05	0	0.28	0	0	0	0	0.02	0.04	0.03
ENSG00000287062	0.09	0.17	0.04	0.05	0	0	0	0	0	0	0.08	0.05	0.02
ENSG00000287063	0.08	0.08	0.02	0.04	0	0	0	0	0.01	0	0	0	0.03
ENSG00000287064	0.17	0.21	0.1	0.31	0.29	0.11	0.31	0.08	0.08	0.12	0.28	0.12	0.24
ENSG00000287065	0	0.04	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287066	0.07	0.12	0.08	0	0	0	0.24	0	0	0	0	0.2	0.05
ENSG00000287067	0.18	0.15	0.12	0.03	0	0.09	0	0.04	0.04	0	0	0.03	0.08
ENSG00000287068	0	0	0	0.12	0	0	0	0	0	0	0	0	0.03
ENSG00000287069	0.59	0.44	0.14	0.04	0.03	0	0	0	0.01	0.04	0.07	0.01	0.04
ENSG00000287070	0	0.07	0	0	0	0	0	0	0	0.12	0	0.09	0.27
CDRT15P4_ENSG00000287071	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287072	0.04	0	0	0	0.02	0	0	0	0.01	0.01	0.01	0	0.01
ENSG00000287073	0.09	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287074	0.18	0.17	0.17	0.21	0.11	0.26	0.06	0	0	0	0.06	0.19	0.13
ENSG00000287075	0.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287076	0.08	0.08	0.12	0.01	0.06	0	0	0	0	0.04	0.03	0.01	0.06
ENSG00000287077	0.16	0.15	0.13	0.13	0	0	0.07	0.05	0.16	0.17	0.09	0.13	0.02
ENSG00000287078	0.39	0.04	0	0.14	0.12	0	0	0	0	0.09	0	0	0.08
ENSG00000287079	0.08	0	0	0.01	0	0	0.01	0	0.01	0.02	0.03	0.09	0.03
HIST1H3C	122.55	97.19	66.22	88.71	19	17.54	14.75	22.76	27.23	4.77	15.47	13.87	5.64
ENSG00000287081	0.04	0.01	0	0.03	0.01	0.02	0	0	0.01	0.01	0	0	0.02
ENSG00000287082	0.17	0.03	0	0.09	0	0	0	0	0	0	0.11	0.04	0
ENSG00000287083	0.1	0.01	0.15	0.03	0.01	0	0	0	0.01	0.01	0.03	0.04	0
ENSG00000287084	0.08	0.08	0.02	0.08	0.02	0.01	0	0.01	0	0.02	0.03	0.01	0
ENSG00000287085	0.17	0.07	0.06	0.08	0.03	0	0.05	0	0	0.02	0	0.02	0.16
ENSG00000287086	0	0	0	0	0	0	0	0.07	0	0	0	0	0
ENSG00000287087	0.11	0.1	0	0.38	0	0	0	0	0	0	0.02	0.07	0.02
ENSG00000287088	0.04	0.16	0.04	0.14	0.02	0.03	0	0	0	0.03	0.1	0	0.09
ENSG00000287089	0.1	0.12	0	0.06	0.13	0	0	0.02	0.02	0.04	0.02	0	0.05
ENSG00000287090	0.05	0.06	0.02	0	0.01	0.01	0	0.01	0.03	0.02	0.1	0.06	0.03
ENSG00000287091	0.47	0.63	2.16	0.62	0.54	0.3	0.36	0.84	0.26	0.34	0.43	0.38	0.71
ENSG00000287092	0.18	0.25	0	0.02	0.09	0	0	0	0	0	0.01	0.01	0.05
ENSG00000287093	0.18	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0.05
ENSG00000287094	0.28	0	0	0	0.04	0	0	0	0.31	0	0.11	0.14	0.08
ENSG00000287095	0.02	0.12	0.05	0.03	0.04	0.08	0	0	0	0.05	0.04	0.07	0
ENSG00000287096	0.22	0	0	0	0	0	0	0	0	0.01	0.06	0.01	0
ENSG00000287097	0.12	0.04	0.15	0.04	0	0	0	0	0.02	0.03	0.03	0	0.03
ENSG00000287098	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287099	0.12	0.06	0	0.06	0.1	0	0	0	0	0	0.08	0	0.09
ENSG00000287100	0.16	0.37	0	0.22	0.1	0.19	0.1	0	0.01	0.19	0	0.1	0.08
ENSG00000287101	0.03	0	0	0.12	0.01	0	0	0	0	0.01	0	0.04	0.03
ENSG00000287102	0.61	0.04	0	0.2	0.07	0	0.03	0	0	0	0.03	0.18	0
ENSG00000287103	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287104	0.48	0.6	0.23	0.42	0.24	0.4	0.17	0.48	0.59	0.18	0.27	0.2	0.3
ENSG00000287105	0.11	0.09	0.03	0	0.04	0	0	0	0	0.01	0.01	0.02	0.01
ENSG00000287106	0.07	0.22	0.02	0.1	0.06	0	0.01	0	0.04	0.04	0.02	0.04	0.1
ENSG00000287107	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287108	0.21	0.1	0.17	0.05	0.06	0.05	0	0.02	0	0	0	0	0.03
ENSG00000287109	0.08	0.07	0.04	0.05	0.03	0.01	0	0.01	0.01	0.02	0.01	0	0.02
AC112484.5	0.3	0.3	0.06	0.21	0.05	0	0.01	0.24	0.02	0.08	0.23	0.24	0.44
ENSG00000287111	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287112	0.04	0.02	0.05	0	0.05	0	0	0	0.01	0	0.02	0.02	0
ENSG00000287113	0	0.3	0.2	0	0.13	0	0.06	0	0	0.06	0	0.15	0.36
ENSG00000287114	0	0	0	0	0	0	0	0	0	0	0.13	0	0
AC009951.6	0	0	0	0	0	0	0	0.24	0	0	0	0	0.17
ENSG00000287117	0.17	0.02	0	0.06	0	0	0	0	0	0	0.03	0	0.02
ENSG00000287118	0.03	0	0	0	0	0	0	0	0	0.01	0.03	0	0
ENSG00000287119	0.37	0.06	0.02	0.03	0.07	0.01	0	0	0.03	0.02	0.06	0.04	0.03
ENSG00000287120	0	0.07	0.04	0.09	0	0	0	0	0.01	0	0.01	0.04	0.06
ENSG00000287121	0.07	0	0	0.2	0.12	0	0	0	0	0.09	0	0	0
ENSG00000287122	0.36	0.21	0.07	0.29	0.21	0	0	0	0.2	0	0.23	0.2	0.26
ENSG00000287123	0.13	0.05	0	0.03	0	0	0	0	0.04	0	0.13	0	0.09
ENSG00000287124	0	0	0.13	0	0	0	0.02	0	0.01	0	0.03	0	0.11
ENSG00000287125	0.06	0.1	0	0	0.02	0	0.02	0	0	0	0.03	0.07	0.06
ENSG00000287126	0.26	0.31	0.24	0.32	0.11	0.11	0.14	0.23	0.12	0.15	0.12	0.12	0.15
ENSG00000287127	0	0.03	0	0.03	0	0	0	0	0	0	0.25	0	0
ENSG00000287128	0.53	0.27	0.05	0.13	0	0	0	0.02	0.01	0.04	0.03	0.09	0.06
ENSG00000287129	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287130	0.16	0.08	0.07	0.01	0.01	0	0	0	0	0	0.04	0	0.02
ENSG00000287131	0.04	0.12	0.15	0	0.03	0	0	0	0.14	0.03	0.42	0	0.03
ENSG00000287132	0.03	0	0.02	0.01	0.03	0	0	0	0	0	0	0.04	0
ENSG00000287133	0.16	0.03	0.02	0.01	0.02	0	0	0	0	0	0	0	0
ENSG00000287134	0.52	0.35	0.17	0.41	0.13	0.1	0.31	0.07	0.08	0.05	0.1	0.02	0.11
ENSG00000287135	0.19	0.02	0	0.07	0.03	0	0	0	0.02	0.01	0	0.05	0.04
ENSG00000287136	0.08	0	0	0.03	0	0	0.03	0	0.04	0	0.14	0	0
ENSG00000287137	0.06	0	0	0	0	0	0	0	0	0	0.04	0	0
ENSG00000287138	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287139	0.14	0.02	0	0.05	0.03	0	0	0	0	0	0.01	0	0
ENSG00000287140	0.12	0.1	0.05	0.01	0	0	0	0	0.02	0.02	0.04	0.02	0
ENSG00000287141	0.29	0.17	0.1	0.09	0.02	0	0	0	0.07	0.16	0.1	0.02	0.03
ENSG00000287142	0.06	0	0	0	0	0	0	0	0	0	0.02	0.02	0
ENSG00000287143	0.14	0	0	0.07	0	0	0	0	0	0	0	0.06	0
ENSG00000287144	0.04	0.02	0	0	0	0	0	0.02	0	0.01	0.06	0	0.02
ENSG00000287145	0.18	0.03	0.02	0.06	0.01	0	0	0	0.01	0.01	0	0.01	0.05
ENSG00000287146	0.22	0.12	0.16	0	0	0	0.12	0	0	0	0	0	0
ENSG00000287147	0.16	0	0	0	0	0	0	0	0	0	0	0	0
LINCADL	0.28	0	0	0	0	0	0	0	0	0	0.06	0	0
ENSG00000287149	0.09	0.07	0	0.04	0.02	0	0	0	0.02	0.02	0.12	0	0.02
ENSG00000287150	0.07	0.03	0	0.13	0.14	0	0	0	0	0.03	0.06	0.29	0.02
C2orf27A	0.27	0.39	0.8	0.43	0.13	0.17	0.14	0.02	0.11	0.2	0.08	0.13	0.19
ENSG00000287152	0	0.05	0.06	0.05	0	0	0	0	0	0	0	0	0
ENSG00000287153	0	0.12	0.16	0.06	0	0	0	0	0	0	0	0	0
ENSG00000287154	0	0.14	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287155	0	0	0	0	0	0	0	0	0	0	0	0	0.14
ENSG00000287156	0.02	0.03	0.02	0	0.07	0	0.02	0	0	0.02	0	0.03	0.02
ENSG00000287157	0.04	0.19	0	0.02	0	0	0	0	0.04	0	0.06	0.03	0.17
ENSG00000287158	0.15	0.05	0.06	0.11	0.01	0	0	0	0	0.07	0.01	0.13	0.01
ENSG00000287159	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0.02
ENSG00000287160	1.47	0.85	0.23	0.41	0.25	0.07	0.06	0.13	0.12	0.21	0.22	0.3	0.3
ENSG00000287161	0.22	0.16	0.07	0.15	0	0	0	0	0	0.02	0.01	0.02	0.06
ENSG00000287162	0	0	0	0	0	0	0	0	0	0	0.27	0	0
ENSG00000287163	0.05	0.07	0	0.02	0.04	0	0	0	0	0.04	0	0.01	0
ENSG00000287164	0	0.14	0	0	0	0	0.1	0	0	0	0	0	0
ENSG00000287165	0	0	0	0	0	0	0	0	0	0	0.19	0	0
ENSG00000287166	0.08	0.16	0.03	0.08	0.07	0.03	0.06	0.01	0.02	0.14	0.05	0.08	0.06
ENSG00000287167	0.02	0.08	0.04	0.02	0.05	0.1	0	0	0	0	0.01	0.04	0.06
ENSG00000287168	0.94	0.57	0.06	0.49	0.26	0	0.26	0	0.11	0.05	0.37	0.16	0.05
ENSG00000287169	0.09	0.11	0	0	0.16	0.1	0.04	0.05	0.03	0.02	0.02	0.02	0.06
ENSG00000287170	0.33	0.18	0.17	0.08	0	0	0	0	0.05	0	0.03	0.01	0.06
AC006062.1	0.13	0.08	0.14	0.09	0.05	0	0	0	0	0	0	0.03	0.03
ENSG00000287172	0.03	0.03	0.02	0.12	0	0	0	0	0	0.01	0.08	0.01	0
ENSG00000287173	0.06	0.04	0	0.04	0	0	0	0	0	0	0.02	0	0
ENSG00000287174	0.03	0	0	0	0	0	0	0	0	0	0.02	0	0
ENSG00000287175	0.03	0.15	0.68	0.53	0.2	0.18	0.25	0.19	0.41	0.16	0.54	0.31	0.52
ENSG00000287176	0.11	0.03	0.06	0	0	0.16	0	0	0	0	0	0.02	0
ENSG00000287177	0.17	0.11	0.01	0.09	0.06	0.02	0	0.01	0.02	0.01	0.03	0.03	0.04
ENSG00000287178	0.07	0.07	0.05	0	0.15	0	0	0	0	0	0	0	0
ENSG00000287179	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287180	0.05	0.22	0	0.09	0.01	0	0	0	0	0.03	0.05	0.06	0.03
ENSG00000287181	0.02	0.07	0	0.03	0	0	0	0.01	0	0	0.01	0	0.01
ENSG00000287182	0	0	0.48	0	0	0.17	0	0	0	0	0.05	0	0
ENSG00000287183	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287184	0.18	0.02	0	0.06	0	0	0	0.07	0.01	0.03	0.01	0	0.02
ENSG00000287185	0.37	0.37	0.1	0.11	0.15	0	0	0.01	0.02	0.06	0.12	0.03	0.14
ENSG00000287186	0.07	0.06	0	0	0.08	0	0	0	0	0	0	0	0.02
ENSG00000287187	0	0.12	0	0.08	0	0	0	0	0	0	0	0.03	0
ENSG00000287188	0.17	0.04	0.01	0.02	0	0	0	0.05	0.04	0	0	0	0
ENSG00000287189	0.16	0.12	0.01	0.11	0.12	0.08	0	0.03	0.07	0.04	0.09	0.04	0.03
ENSG00000287190	0.42	0.27	0.18	0.21	0.14	0	0.02	0.03	0.13	0.06	0.09	0.03	0
ENSG00000287191	0	0	0	0	0	0	0	0	0.06	0.03	0	0.06	0.04
ENSG00000287192	0.31	0.18	0.08	0	0	0	0.02	0	0	0	0.08	0	0.11
ENSG00000287193	0.18	0.02	0.1	0.09	0.16	0	0	0.01	0.06	0.03	0	0.02	0.4
ENSG00000287194	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287195	0.62	0.19	0.31	0.34	0.12	0	0.02	0.01	0.03	0.05	0.14	0.12	0.09
ENSG00000287196	0.1	0.54	0	0	0	0	0	0	0	0	0.12	0	0
ENSG00000287197	0.27	0.2	0.09	0.08	0.14	0.04	0	0.03	0.01	0.09	0.04	0.07	0.01
ENSG00000287198	0.04	0	0	0.08	0	0	0	0	0	0	0	0	0
ENSG00000287199	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287200	0.57	0.29	0.36	0.12	0.11	0.11	0.14	0.09	0.04	0.01	0.2	0.21	0.11
ENSG00000287201	0.06	0.06	0.08	0.12	0.07	0.1	0.1	0.02	0.04	0.04	0.07	0	0
ENSG00000287202	0.28	0.17	0.1	0.12	0.06	0.05	0.06	0.08	0.04	0.05	0.11	0.09	0.03
ENSG00000287203	0.13	0.28	0	0.16	0	0	0	0	0.02	0	0	0	0
ENSG00000287204	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287205	0	0	0	0	0	0	0	0	0	0.03	0	0	0
ENSG00000287206	0.18	0	0.1	0.02	0	0	0	0.03	0	0	0	0.06	0.07
ENSG00000287207	0.03	0	0	0.02	0.15	0	0	0	0	0	0.02	0	0
ENSG00000287208	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287209	0.38	0.06	0	0.04	0.11	0	0	0.2	0	0	0	0.04	0.02
ENSG00000287210	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287211	0.03	0	0	0	0	0	0	0	0.05	0	0	0	0
ENSG00000287212	0	0	0	0	0.04	0	0	0	0	0	0	0	0
ENSG00000287213	0	0	0.19	0	0.03	0	0	0	0	0	0.1	0	0
ENSG00000287214	0.11	0.3	0.14	0.35	0.3	0	0	0.02	0.06	0.06	0.05	0.12	0.02
ENSG00000287215	0.26	0.2	0.06	0.14	0.11	0.02	0	0	0.04	0.06	0.03	0.03	0.06
ENSG00000287216	0.03	0.03	0	0.09	0	0	0	0	0	0	0	0.02	0.02
ENSG00000287217	0	0.11	0	0.02	0	0	0	0	0.03	0	0	0	0
ENSG00000287218	0.21	0.09	0.16	0.03	0.05	0	0.02	0.05	0.03	0.02	0.05	0.03	0.12
ENSG00000287219	0	0	0	0	0	0	0	0.09	0	0	0	0	0.15
ENSG00000287220	0.04	0.04	0.27	0.12	0	0	0.15	0	0.19	0	0	0	0.06
ENSG00000287221	0.05	0.07	0	0	0.02	0	0	0	0	0	0	0	0
ENSG00000287222	0.21	0.52	0.57	0.67	0.27	0.35	0.27	0.21	0.21	0.3	0.32	0.32	0.22
ENSG00000287223	0.19	0.05	0.02	0.01	0.01	0	0	0	0.01	0	0	0	0.03
ENSG00000287224	0.09	0.35	0.06	0.15	0.06	0	0	0.02	0	0	0.04	0.04	0.13
ENSG00000287225	0.37	0.07	0.06	0.31	0	0	0	0	0.12	0.01	0.05	0.02	0
ENSG00000287226	0.05	0.02	0	0	0	0	0	0	0	0	0.09	0	0.05
ENSG00000287227	0.04	0.05	0	0	0	0	0	0	0	0	0.02	0	0.01
ENSG00000287229	0.15	0.16	0.04	0.09	0.04	0.07	0.04	0	0	0	0.04	0	0.03
ENSG00000287230	0	0	0	0.24	0	0	0	0	0	0.07	0.07	0	0.03
ENSG00000287231	0.06	0.15	0.02	0	0	0.08	0	0	0.01	0.01	0	0	0
ENSG00000287232	0.12	0.17	0.05	0.09	0.23	0.2	0.12	0.07	0.07	0.09	0.13	0.13	0.16
ENSG00000287233	0.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287234	0.15	0	0.16	0	0.36	0	0	0.24	0	0.06	0	0	0
ENSG00000287235	0.03	0.11	0	0.1	0.04	0	0	0	0.02	0.07	0.02	0.08	0.02
ENSG00000287236	0.27	0.25	0.33	0.03	0.05	0	0	0.11	0.03	0.07	0.04	0.09	0.08
ENSG00000287237	0.14	0.13	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287238	0.64	0.27	0.14	0.21	0.11	0.15	0	0.05	0.2	0.04	0.07	0.1	0.13
ENSG00000287239	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287240	0	0.04	0.05	0	0	0	0	0	0.04	0	0	0	0.05
ENSG00000287241	0.2	0.09	0.04	0.03	0	0.04	0	0	0	0.01	0.01	0.02	0
ENSG00000287242	0.42	0.09	0.17	0.23	0.05	0	0.04	0.02	0.03	0.04	0.12	0.06	0.23
AC005908.3	0.21	0.06	0	0.05	0.02	0.01	0	0.01	0.02	0.01	0.07	0.03	0.04
ENSG00000287244	0.19	0.11	0.24	0	0.09	0.45	0	0.03	0	0.2	0.07	0.14	0.03
ENSG00000287245	0.23	0.09	0.05	0.14	0.03	0	0	0.04	0.08	0.01	0.02	0	0.08
ENSG00000287246	0.05	0.02	0	0	0	0	0	0.03	0.02	0	0	0	0
ENSG00000287247	0.05	0	0	0	0	0	0	0	0	0	0.01	0	0
ENSG00000287248	0.09	0.05	0	0	0.04	0	0	0	0	0.04	0.01	0	0
ENSG00000287249	0	0.04	0.11	0	0.31	0	0	0	0.05	0	0.11	0	0.09
ENSG00000287250	0.21	0.28	0.04	0.03	0.14	0	0	0	0	0	0.06	0.05	0.06
ENSG00000287251	0.24	0.01	0	0.02	0.03	0	0	0.03	0.01	0	0.05	0.02	0.07
ENSG00000287252	0.13	0.17	0.03	0.02	0.01	0.09	0	0.01	0.1	0	0.03	0.08	0.2
ENSG00000287253	0.09	0.03	0	0.13	0.02	0.12	0	0	0.02	0.01	0	0.05	0
ENSG00000287254	0	0	0	0.06	0	0	0	0	0	0	0	0.04	0
ENSG00000287255	0	0	0.38	0	0	0	0	0	0.03	0	0	0.03	0
ENSG00000287256	0	0.14	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287257	0.33	0.15	0	0.27	0.03	0	0.09	0.08	0.24	0.08	0.12	0.04	0
ENSG00000287258	0.08	0.07	0.03	0.04	0.01	0.02	0.02	0	0.01	0	0.02	0.04	0.03
ENSG00000287259	0	0.04	0	0.02	0.07	0	0	0	0	0	0	0	0.06
ENSG00000287260	0.17	0	0.22	0.08	0.14	0.33	0	0.06	0.02	0.32	0.02	0.14	0.1
AL139243.1	0.21	0.64	0.36	0.33	0.17	0	0.32	0.19	0.24	0.31	0.25	0.66	0.24
ENSG00000287262	0.38	0.15	0.03	0.21	0.05	0.03	0	0.08	0.11	0.06	0.09	0.05	0.07
ENSG00000287263	0.33	0.29	0.32	0.16	0.18	0.11	0.05	0.05	0.19	0.05	0.21	0.12	0.14
ENSG00000287264	0.15	0.03	0.23	0.14	0.12	0	0	0.04	0	0.01	0	0.15	0.09
ENSG00000287265	0.18	0.04	0	0.02	0.01	0.01	0.01	0.02	0.03	0.07	0.04	0.01	0.04
ENSG00000287266	0.08	0.07	0	0	0	0	0	0	0	0	0	0.14	0
ENSG00000287267	0.52	0.16	0	0.08	0	0	0	0	0.1	0	0	0	0.15
ENSG00000287268	0.03	0	0	0.01	0.01	0.02	0	0	0.02	0	0	0	0.01
ENSG00000287269	0.6	0.13	0.4	0.2	0.11	0	0.15	0.21	0.38	0.17	0.11	0.3	0.28
ENSG00000287270	0.03	0.06	0	0.03	0	0	0	0	0	0	0.02	0	0
ENSG00000287271	0.18	0.37	0.02	0.14	0.04	0.11	0.01	0.01	0.11	0.17	0.01	0.12	0.1
ENSG00000287272	0.12	0.07	0.02	0.01	0.08	0	0	0.04	0	0.02	0.04	0.06	0.02
ENSG00000287273	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287274	0.35	0.18	0.03	0.07	0.02	0	0	0	0.12	0.01	0.07	0	0.04
ENSG00000287275	0.17	0.08	0.03	0.08	0	0	0	0	0	0	0.01	0.01	0.01
CNTNAP3P7_ENSG00000287276	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287277	1	0.37	0.42	0.21	0.09	0.1	0.01	0.02	0.09	0.05	0.08	0.16	0.08
ENSG00000287278	0.07	0.02	0.06	0.02	0.04	0	0	0.02	0.03	0.03	0.02	0.05	0.04
ENSG00000287279	0.1	0.07	0.04	0.2	0	0	0	0.02	0	0	0.03	0.03	0.09
ENSG00000287280	0.12	0	0	0	0.02	0	0	0	0	0	0	0	0
ENSG00000287281	0.14	0.11	0.09	0.11	0.05	0	0	0	0.07	0.01	0.08	0.02	0.07
ENSG00000287282	0.29	0.02	0.07	0.12	0.1	0	0	0.05	0.01	0.02	0.05	0	0.09
ENSG00000287283	0.14	0.1	0	0.07	0.01	0.13	0	0	0	0.03	0	0	0.02
ENSG00000287284	0.03	0.08	0	0.02	0	0	0	0	0	0	0.02	0.03	0.06
ENSG00000287285	0.25	0	0	0.6	0	0	0	0	0	0	0	0	0
ENSG00000287286	0	0.03	0	0	0.02	0	0	0	0.01	0.01	0.03	0	0
ENSG00000287287	0.19	1.11	2.35	2.25	0.71	1.08	0.93	1.07	1.51	0.93	1.07	1.06	1.66
ENSG00000287288	0.22	0	0.2	0	0	0	0	0	0	0	0.03	0.03	0.04
ENSG00000287289	0.09	0.11	0.01	0.04	0.01	0	0	0	0.01	0	0.03	0	0.02
ENSG00000287290	0.06	0.02	0	0.03	0	0	0	0	0	0	0	0	0
ENSG00000287291	0.09	0.11	0.15	0.24	0.24	0	0	0	0	0	0.05	0.06	0.05
ENSG00000287292	0.32	0.25	0.08	0.08	0.02	0	0	0	0.01	0	0	0.01	0.09
ENSG00000287293	0	0.04	0.05	0	0	0	0	0	0	0.06	0	0	0.03
ENSG00000287294	0.1	0.03	0	0	0	0.06	0	0.04	0	0	0	0	0
ENSG00000287295	0.42	0	0	0.07	0.03	0	0	0	0	0.06	0.12	0.05	0.16
ENSG00000287296	0	0.4	0	0	0.51	0	0	0	0	0.67	0	0	0
ENSG00000287297	0	0.03	0	0.03	0	0	0	0	0	0	0.09	0	0
ENSG00000287298	0	0	0	0.11	0	0	0	0	0	0	0	0	0
ENSG00000287299	1.03	0.99	0.9	0.72	0.28	0.2	0.21	0.16	0.24	0.26	0.41	0.24	0.27
ENSG00000287300	0.15	0.12	0.11	0.18	0.19	0	0.01	0.1	0.03	0.12	0.18	0.14	0.13
ENSG00000287301	0	0.04	0	0.02	0.03	0	0	0	0	0.01	0.03	0.01	0.02
ENSG00000287302	0.03	0.08	0.07	0	0.02	0	0	0.02	0	0.08	0	0	0.12
ENSG00000287303	0.37	0.14	0	0.12	0.04	0.06	0.01	0.05	0	0.02	0.02	0.05	0
ENSG00000287305	0	0.14	0	0	0	0	0	0	0	0	0.02	0.04	0
ENSG00000287306	0.23	0.13	0.04	0.14	0.05	0	0	0	0.01	0.01	0.05	0.01	0.07
ENSG00000287307	0.16	0.11	0.02	0.04	0.01	0	0	0.02	0.01	0	0.02	0.01	0.04
ENSG00000287308	0	0	0	0	0.2	0	0	0	0	0	0	0.04	0
ENSG00000287309	0.15	0.04	0	0.05	0.02	0	0	0	0	0	0	0.06	0
ENSG00000287310	0.17	0.19	0	0	0	0	0	0	0.01	0.06	0.02	0	0
ENSG00000287311	0.05	0.03	0	0.03	0.04	0	0	0	0.01	0	0.03	0	0.07
ENSG00000287312	0.61	0.06	0	0.05	0	0	0	0.02	0	0	0.06	0.4	0
ENSG00000287313	0.23	0.03	0.14	0.16	0.14	0.09	0.04	0.1	0.05	0.06	0.07	0.05	0.04
ENSG00000287314	0	0	0	0	0.26	0	0	0	0.18	0	0	0	0.06
ENSG00000287315	0.06	0.01	0	0.03	0.04	0.02	0	0	0	0.01	0	0.06	0
ENSG00000287316	0.22	0.03	0.04	0.18	0.08	0	0	0	0	0	0.02	0	0.18
ENSG00000287317	0.21	0.03	0.04	0	0	0	0	0	0.04	0.07	0	0	0
ENSG00000287318	0.05	0.04	0	0.04	0	0.04	0	0	0	0	0	0	0
ENSG00000287319	0.17	0.09	0	0	0	0	0	0	0	0	0	0.01	0
ENSG00000287320	0.07	0.06	0.02	0.02	0	0	0	0	0	0	0.02	0.01	0
ENSG00000287321	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287322	0.08	0.02	0.03	0.08	0	0	0	0	0	0.01	0.04	0	0
ENSG00000287323	0.06	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287324	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287325	0.08	0.04	0	0	0.09	0	0	0.11	0	0	0.24	0	0.03
ENSG00000287326	0.09	0.08	0.03	0.02	0.05	0	0.01	0.02	0.03	0.02	0.12	0.04	0.08
ENSG00000287327	0.1	0.09	0	0	0	0	0	0	0.06	0	0	0	0
ENSG00000287328	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287329	0.33	0.14	0	0.14	0	0.36	0	0	0	0.06	0.25	0.09	0.16
ENSG00000287330	0.48	0.03	0	0.05	0	0	0.12	0.01	0	0.04	0.02	0.05	0.1
ENSG00000287331	0	0	0	0	0	0	0	0	0	0	0	0	0.2
ENSG00000287332	0.11	0.05	0	0.05	0	0.02	0.01	0	0.01	0.05	0	0.02	0.04
ENSG00000287333	0	0	0	0	0	0	0	0	0	0	0	0.03	0
ENSG00000287334	0.14	0.06	0	0.08	0.05	0	0	0	0.05	0	0.04	0.05	0.04
ENSG00000287335	0.05	0.08	0.05	0.43	0.02	0.05	0.01	0.06	0.01	0	0.04	0.09	0.02
ENSG00000287336	0.17	0.15	0	0.01	0	0.01	0	0	0	0	0	0	0.04
ENSG00000287337	0.12	0.07	0	0	0.02	0	0	0	0.01	0.01	0.06	0.01	0.05
ENSG00000287338	0.39	0.1	0.27	0.12	0.02	0	0.01	0.02	0.03	0.07	0.14	0.04	0.22
ENSG00000287339	0.3	0.1	0	0.05	0	0	0	0.19	0.16	0	0	0	0
ENSG00000287340	0.48	0.16	0	0.05	0	0	0	0	0.02	0.01	0.02	0.03	0.04
ENSG00000287342	0.29	0.07	0	0	0.03	0.01	0.01	0.01	0	0.02	0.01	0.09	0.01
ENSG00000287343	0.03	0.06	0	0.03	0.01	0	0	0	0	0	0.03	0.01	0
ENSG00000287344	0.1	0	0	0.01	0	0	0	0.01	0	0	0	0	0
ENSG00000287345	0.32	0.33	0.12	0.09	0.02	0	0	0.03	0	0.01	0.02	0.14	0.06
