GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
CSDE1	66.65	80.67	69.43
UBE3C	8.03	6.57	9.93
REV3L	0.71	3.8	0.59
TENM1	0	0	0
PAX7	0	0	0
MASP2	0.03	0.21	0.2
IYD	2.69	1.63	1.34
FAM76A	1.09	2.52	2.47
TRAF3IP3	0	0.12	0.26
POMT2	1.23	2.58	0.87
VTA1	9.58	11.66	10.44
MLXIPL	0.33	1.89	4.38
BAZ1B	6.37	7.6	8.27
RANBP9	7.05	7.91	9.16
ETV7	0.02	0.62	0.54
SPRTN	1.02	1.28	1.58
EEF1AKNMT	1.04	1.21	0.64
DYRK4	0.33	0.99	0.33
ZNF207	11.32	21.41	17.25
UQCRC1	93.19	47.86	51.03
STARD3NL	1.8	3.11	1.42
CD9	216.14	286.17	270.91
HHATL	0	0	0
NCAPD2	2.39	3.51	1.97
IFFO1	0.04	0.05	0.08
GIPR	0.92	2.16	4.18
PHF7	0.24	0.12	0.27
SEMA3G	0	0.04	0
NISCH	4.69	5.65	6.74
STAB1	0	0	0
FUZ	0	0	0
SLC6A13	0.03	0	0
IDS	4.71	6	7.23
PRSS3	51.13	60.32	56.75
ZNF200	0.25	0.67	0.53
CD4	0	0.03	0.17
LRRC23	0.6	0.43	0.92
BTK	0	0	0
HFE	1.17	3.01	2.63
SCMH1	1.65	1.74	2.49
FYN	1.67	0.67	1.71
HIVEP2	4.59	6.41	6.29
FMO1	0	0	0
ELOA	3.54	5.21	5.95
LYPLA2	18.8	12.63	15.27
CLCN6	0.61	0.83	0.77
MRC2	0	0	0
NME1-NME2_ENSG00000011052	0.79	0.08	0
SLC6A7	0.31	0.43	0.42
TSPAN9	1.98	1.69	1.59
BTBD7	5.49	6.78	7.23
APBA3	0.57	0.77	1.69
MKS1	0.88	0.73	0.64
ABHD5	4.12	6.86	4.74
ANOS1	0	0.02	0.02
AKAP8L	6.9	6.45	5.64
MBTD1	0.57	1.65	0.59
UTP18	1.12	0.94	1.06
RNF216	0.96	1.64	1.35
TTC19	14.82	10.67	11.97
PTBP1	20.81	22.57	22.09
DPF1	0.01	0	0
SYT7	3.66	12.59	10.16
LARS2	1.23	1.16	0.61
PIK3C2A	4.17	6.08	6.27
PLAUR	6.73	14.31	14.23
ANLN	0.16	0.5	0.61
WIZ	1.88	1.42	1.62
RABGAP1	3.52	3.52	4.75
DCN	0	0.08	0
QPCTL	0.44	0.69	0.37
PPP5C	9.49	5.62	6.58
CEP68	0.28	0.19	0.88
MAP4K3	7.83	4.95	4.82
ZBTB32	0	0	0.08
TYROBP	0.08	0	0
TMEM159	3.39	8.91	7.55
GABRA3	0	0	0
BRCA1	0.23	0.12	0.11
ERCC1	2.68	3.95	2.08
CD22	0.12	0.38	0
SEMA3B	5.96	6.7	8.09
MBTPS2	0.88	0.47	0.43
PRICKLE3	1.58	1.38	1.05
LTF	0	0.03	0
