GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
APBA3	1.08	0.91	0.85	1.08	1.56	1.11	1.73	0.95	0.76	0.87
MKS1	0.61	0.28	0.3	0.26	0.42	0.34	0.53	1.44	0.88	0.34
ABHD5	5.8	5.95	5.92	6.58	6.5	5.76	7.84	6.23	6.1	8.72
ANOS1	0.09	0.14	0.15	0.15	0.24	0.25	0.29	0.19	0.28	0.28
AKAP8L	4.67	3.81	4.21	3.67	4.5	4.36	5.26	6.79	4.58	5.01
MBTD1	0.84	0.74	0.85	0.67	0.9	0.72	0.76	1.5	1.03	1.42
UTP18	0.46	0.59	0.32	0.36	0.53	0.61	0.66	0.81	1.05	0.71
RNF216	0.91	1.06	0.94	1.02	0.85	1.11	1.34	1.75	1.48	1.27
TTC19	6.7	7.63	7.6	6.7	6.87	9.18	7.46	9.26	6.57	12.47
PTBP1	16.64	18.94	14.43	18.12	16.62	16.59	15.87	19.68	15.61	20.55
DPF1	0.01	0.04	0.01	0.02	0	0.03	0.01	0.05	0.01	0
SYT7	12.78	9.12	10.8	15.14	12.41	7.81	9.78	3.05	4.38	9.91
LARS2	0.49	0.43	0.28	0.28	0.3	0.42	0.34	0.77	0.85	0.43
PIK3C2A	6.04	5.99	6.11	5.28	5.59	5.76	7.15	9.64	6.61	8.06
PLAUR	10.97	11.93	15.3	17.67	14.1	13.53	12.89	22.34	24.85	16.92
ANLN	0.28	0.18	0.36	0.17	0.1	0.36	0.13	0.46	0.75	0.19
WIZ	0.98	0.79	0.94	1.2	1.01	1.06	0.96	0.39	0.5	1.15
RABGAP1	3.02	3.62	2.23	2.46	2.9	2.82	3.33	7.01	4.46	5.29
DCN	0.03	0.11	0.02	0.02	0	0	0.08	0.05	0.04	0.03
QPCTL	0.52	0.28	0.39	0.51	0.56	0.36	0.48	0.18	0.29	0.49
PPP5C	2.81	3.26	3.76	2.44	3.18	2.82	3.89	2.94	2.74	3.61
CEP68	0.31	0.22	0.26	0.27	0.24	0.41	0.28	0.86	0.5	0.17
