GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
SEMA3G	0.08	0.19	0.07	0.06	0.13	0.21	0.03	0.03	0.01	0.03
NISCH	4.5	4.67	4.09	4.95	4.82	6.25	6.16	6.52	3.41	5.08
STAB1	0	0	0	0	0.01	0.01	0	0	0	0
FUZ	0.05	0	0	0.07	0.07	0.24	0.13	0	0	0.14
SLC6A13	0.02	0	0	0.03	0.19	0	0	0.1	0	0
IDS	6.82	5.1	5.83	7	6.56	7.69	7.95	7.95	4.31	6.03
PRSS3	51.14	47.6	50.65	45.41	58.21	51.95	71.47	66.64	40.02	53.51
ZNF200	0.58	0.55	0.52	0.75	0.76	0.74	1.04	0.56	2.21	2.37
CD4	0	0	0	0.03	0	0	0	0	0	0
LRRC23	0.35	0.11	0.31	0.41	0.54	0.47	0.53	0.38	0.12	0.19
BTK	0	0	0	0	0	0	0	0	0	0
HFE	1.81	1.7	1.51	1.75	1.78	1.73	1.36	1.65	2.53	3.71
SCMH1	1.25	1.96	0.97	1.19	1.53	1.85	1.01	1.15	1.17	0.96
FYN	0.31	0.1	1.66	1.11	0.42	0.78	2.26	1.11	1.04	1.23
HIVEP2	7.51	6.81	6.75	6.84	7.94	9.16	6.38	6.85	16.13	17.97
FMO1	0	0	0	0	0	0	0	0	0	0
ELOA	3.89	3.27	3.25	2.97	4.09	4.67	4.88	4.67	4.57	5.69
LYPLA2	7.95	10.28	9.6	8.97	8.31	6.53	18.23	19.89	6.64	11.14
CLCN6	0.89	0.55	0.7	0.65	0.59	0.67	0.65	0.66	0.79	0.97
MRC2	0	0	0	0	0.03	0	0	0.05	0	0
NME1-NME2_ENSG00000011052	0.08	0.57	0.14	0.09	0.15	0	0.36	0.46	0	0
SLC6A7	0.08	0.16	0.11	0.1	0.2	0.44	0.48	0.34	0.18	0.25
TSPAN9	1.31	1.61	1.97	1.43	1.94	1.86	2.04	1.81	1.03	1.52
BTBD7	6.63	4.17	4.76	3.97	6.24	6.22	6.76	7.29	4.48	5.5
APBA3	0.47	0.9	0.38	0.91	0.6	0.78	0.24	0.84	2.94	1.6
MKS1	0.39	0.48	0.63	0.5	0.86	1.01	0.85	0.65	1.31	1.55
ABHD5	6.78	5.46	6.34	5.39	6.8	8.88	5.39	7.05	6.05	9.79
ANOS1	0	0.05	0.08	0.25	0.05	0.05	0.01	0.1	0.14	0.08
AKAP8L	3.75	4.27	4.03	3.94	3.42	4.82	6.41	6.9	5.19	6.64
MBTD1	1.04	0.47	0.61	0.68	1.09	0.82	1.15	1.01	0.91	0.66
UTP18	0.54	0.23	0.91	0.39	0.52	0.6	1.05	0.71	1.15	1.51
RNF216	1	0.63	1.01	0.72	1.13	1.46	1.65	1.43	1.55	2.03
TTC19	13.06	15.82	15.27	13.93	16.38	18.95	22.95	23.59	7.29	8.82
PTBP1	13.67	12.79	13.78	13.31	11.92	18.22	12.88	12.39	19.71	22.1
DPF1	0.03	0	0.01	0.02	0.04	0	0	0	0.01	0
SYT7	10.62	12.69	15.04	13.3	10.63	15.19	3.71	7.03	5.77	10.87
LARS2	0.92	0.78	1.12	0.86	1.02	1.22	2.54	2.47	1.25	1.44
PIK3C2A	6.39	5.54	5.49	5.49	7.98	7.64	7.52	8.13	7.29	8.15
PLAUR	3.37	3.46	9.06	10.95	9.74	7.4	3.86	4.89	35.09	43.19
ANLN	0.6	0.67	1.79	0.22	0.23	0.36	1.05	1.18	0.27	1.65
WIZ	0.54	0.96	0.73	1.05	0.45	0.42	0.55	1.06	0.62	1.65
RABGAP1	3.77	3.49	2.97	2.59	3.79	4.95	5.61	4.62	3.56	6.23
DCN	0	0	0	0	0	0	0	0	0	0.08
QPCTL	0.26	0.51	0.2	0.6	0.24	0.39	0.68	0.57	0.16	0.24
PPP5C	3.21	4.78	4.72	4.49	4.45	3.22	9.55	7.45	3.41	3.85
CEP68	0.24	0.13	0.14	0.23	0.12	0.16	0.27	0.3	0.22	0.23
MAP4K3	4.77	4.45	4.58	4.54	6.26	6.69	9.08	7.6	4.37	4.84
